"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kai","Olen käynyt yhteislenkillä","Yhteislenkki oli ","Minulle käteviä treenipaikkoja olisivat ","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa"
"2018/09/23 10:00:37 PM GMT+3","40-50","nainen","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","En","En ole uskaltanut vielä osallistua 😁","Halssila;Kanavuori;Kuokkala;Sippulanniemi","pyörällä;omalla autolla","19-21;>21","19-21","19-21;>21","","","15-17","17-19;19-21;>21","1 h;1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 10:04:06 PM GMT+3","20-30","mies","puolimaratonin","yleensä kahdesti viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kulkuyhteydet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12","10-12","1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 10:08:49 PM GMT+3","40-50","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Keljonkangas;Muurame ","omalla autolla","","","","","","","","45 min;1 h;1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää"
"2018/09/23 10:38:20 PM GMT+3","20-30","nainen","10km lenkin;puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute","En","En ole käynyt","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas","juoksen alkulämpät;pyörällä;omalla autolla","","12-15","12-15","12-15","","","","1 h;1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 10:51:05 PM GMT+3","40-50","mies","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","","Ajanpuute;Kaverin puute","En","","Laajis;Touruvuori;Halssila","omalla autolla","","","","","","7-10;12-15","7-10;12-15","30 min;45 min;1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja","edellisenä päivänä;muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/24 6:38:34 AM GMT+3","40-50","nainen","maratonin","kolmesti tai neljästi viikossa","voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Myllyjärvi;Hanhiperä","omalla autolla","","","17-19","17-19","","7-10","10-12","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/24 7:06:33 AM GMT+3","40-50","mies","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;voittaa itselleni asettamat haasteet","läheiset kansallispuistot","Määrärahojen puute;Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät;pyörällä","","17-19","","17-19","17-19","12-15","12-15","1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja","muutama päivä aiemmin riittää"
"2018/09/24 7:54:53 AM GMT+3","40-50","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Kaverin puute","Joo","Lähdin kokeilemaan kun oli tarjolla kevyt lenkki - alla oli jo muutamat lenkit joten kevyt passasi hyvin. Tarjolla oli kuitenkin ylämäkitreeniä joten kysymys kuuluu: mikä on määritelmä sanalle ”kevyt”? :) Olisin toki valmistautunut ylämäkireeniin jos olisin tiennyt sen olevan ohjelmassa.. ","Laajis;Sippulanniemi;Myllyjärvi;Ladun maja","omalla autolla","","17-19","17-19","","17-19","10-12;15-17","10-12;15-17","1 h;1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);Jos ilottelu juoksun aikana tarkoittaa tekniikkaharjoitteita niin sitä :) Ei mielellään yrjöilylenkkejä - eikä raastoa. Lenkit kannattaisi varmaan jotenkin määritellä niin että kaikki tietäisivät mitä on tarjolla. Näin peruspirkko lenkkeilijä ei aina ymmärrä mitä kaikkea mielenkiintoista lenkeillänne tapahtuukaan. Voi sitten rajata hulluimmat ulkopuolelle tai valmistautua niihin vähän eri tavalla :) Ps.hyvä kysely! Lisäys seuraavaan kysymykseen: kaikkea ei tarvitse olla tarjolla joka lenkillä vaan tietty eri lenkeillä eri maastoja.. eli aina ei tartte olla helppoa neulaspolkua vaan eri kertoina eri juttuja? ","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin"
"2018/09/24 8:08:22 AM GMT+3","30-40","mies","ultran","noin kerran viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa","kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","omalla autolla","19-21","19-21","19-21","19-21","19-21","19-21","19-21","1 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","edellisenä päivänä;muutama päivä aiemmin riittää"
"2018/09/24 8:19:21 AM GMT+3","30-40","nainen","ultran","yli viidesti viikossa","lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Laiskuus","Joo","minun tasolleni liian nopeaa","Laajis;Touruvuori;Halssila","omalla autolla","","","","","","","","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/24 9:19:23 AM GMT+3","40-50","nainen","5km lenkin;10km lenkin;puolimaratonin","yli viidesti viikossa","nauttia luonnosta;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla","Laiskuus","Joo","minun tasolleni liian nopeaa","Laajis;Touruvuori;Keskusta","toisen kyydillä;omalla autolla;pääsen polkulenkille suoraan kotipihasta myös","17-19","","17-19","","","","10-12;17-19","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa"
"2018/09/24 10:39:37 AM GMT+3","30-40","nainen","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta","toisen kyydillä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;12-15;15-17;17-19;19-21","10-12;12-15;15-17;17-19;19-21","1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/24 10:41:10 AM GMT+3","40-50","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;Kulkuyhteydet;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Keskusta;Mikä vaan, jos jalan, pyörällä tai kimppakyydillä pääsee. Kotimetsä Aittovuoressa houkuttelee, koska se on vieressä. Menee vain ulos ovesta ja nousee mäen metsään.","pyörällä;toisen kyydillä","7-10;10-12;12-15;15-17;17-19;19-21","7-10;17-19;19-21","7-10;17-19;19-21","7-10;17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","7-10;10-12","7-10;10-12;17-19;19-21","30 min;45 min;1 h;1 h 30 min;2 h","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);oksennukseen asti;En ole vieläkään palautunut elokuun kisoista, että nyt jo kävely on tarpeeksi rankkaa jaloille. Lääkäriseuranta käynnissä. Rankkojakin treenejä jaksaa ajoittain, mutta maltilla ja kehoa kuunnellen.","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/24 1:19:51 PM GMT+3","20-30","mies","maratonin","yli viidesti viikossa","kehittää nopeuttani juoksijana;päästä podiumille","kisaaminen","Määrärahojen puute","Joo","vedin lenkin joten se oli 5/5","Halssila;Keskusta;Jyväsjärven kierto ja Tuomijärven kierto","juoksen alkulämpät","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","oksennukseen asti;Kunnon VK/MK-tööttejä","helppoa neulaspolkua","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/24 1:37:11 PM GMT+3","30-40","nainen","ultran","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja","pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen","Ajanpuute;Kulkuyhteydet","En","","Kinkomaan ympäristö","pyörällä;omalla autolla","17-19","","17-19","","17-19","10-12;12-15","10-12;12-15","1 h;1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/24 2:12:07 PM GMT+3","20-30","nainen","puolimaratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute;Kulkuyhteydet","En","","Laajis;Touruvuori;Kuokkala;Keskusta","juoksen alkulämpät;pyörällä","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","","5-7;7-10;10-12;12-15;15-17","5-7;7-10;10-12;12-15","45 min;1 h;1 h 30 min;2 h;2 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/24 2:49:44 PM GMT+3","30-40","nainen","puolimaratonin","yli viidesti viikossa","lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa","Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis","juoksen alkulämpät;pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h;1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
